이름,정당명,선거구,대표 위원회,재선,당선,성별
이상식,더불어민주당,경기 용인시갑,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 행정안전위원회",초선,제22대,남
이상휘,국민의힘,경북 포항시남구울릉군,농림축산식품해양수산위원회,초선,제22대,남
이성권,국민의힘,부산 사하구갑,재정경제기획위원회,재선,"제17대, 제22대",남
이성윤,더불어민주당,전북 전주시을,법제사법위원회,초선,제22대,남
이소영,더불어민주당,경기 의왕시과천시,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 기후위기 특별위원회, 기후에너지환경노동위원회",재선,"제21대, 제22대",여
이소희,국민의힘,비례대표,보건복지위원회,초선,제22대,여
이수진,더불어민주당,경기 성남시중원구,"연금개혁 특별위원회, 보건복지위원회, 성평등가족위원회",재선,"제21대, 제22대",여
이양수,국민의힘,강원 속초시인제군고성군양양군,"농림축산식품해양수산위원회, 정보위원회",3선,"제20대, 제21대, 제22대",남
이언주,더불어민주당,경기 용인시정,산업통상자원중소벤처기업위원회,3선,"제19대, 제20대, 제22대",여
이연희,더불어민주당,충북 청주시흥덕구,"과학기술정보방송통신위원회, 성평등가족위원회, 예산결산특별위원회",초선,제22대,남
이용선,더불어민주당,서울 양천구을,국토교통위원회,재선,"제21대, 제22대",남
이용우,더불어민주당,인천 서구을,기후에너지환경노동위원회,초선,제22대,남
이인선,국민의힘,대구 수성구을,"교육위원회, 예산결산특별위원회",재선,"제21대, 제22대",여
이인영,더불어민주당,서울 구로구갑,"보건복지위원회, 정보위원회",5선,"제17대, 제19대, 제20대, 제21대, 제22대",남
이재강,더불어민주당,경기 의정부시을,외교통일위원회,초선,제22대,남
이재관,더불어민주당,충남 천안시을,농림축산식품해양수산위원회,초선,제22대,남
이재정,더불어민주당,경기 안양시동안구을,문화체육관광위원회,3선,"제20대, 제21대, 제22대",여
이정문,더불어민주당,충남 천안시병,문화체육관광위원회,재선,"제21대, 제22대",남
이정헌,더불어민주당,서울 광진구갑,"과학기술정보방송통신위원회, 국회운영위원회",초선,제22대,남
이종배,국민의힘,충북 충주시,"기후위기 특별위원회, 농림축산식품해양수산위원회",4선,"제19대, 제20대, 제21대, 제22대",남
이종욱,국민의힘,경남 창원시진해구,"예산결산특별위원회, 재정경제기획위원회",초선,제22대,남
이주영,개혁신당,비례대표,교육위원회,초선,제22대,여
이주희,더불어민주당,비례대표,"기후위기 특별위원회, 과학기술정보방송통신위원회, 국회운영위원회, 성평등가족위원회",초선,제22대,여
이준석,개혁신당,경기 화성시을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 예산결산특별위원회, 재정경제기획위원회",초선,제22대,남
